ds,y
2020-06-30 00:00:00,21169376
2020-06-30 01:00:00,12777045
2020-06-30 02:00:00,7947950
2020-06-30 03:00:00,6038202
2020-06-30 04:00:00,6344623
2020-06-30 05:00:00,8669763
2020-06-30 06:00:00,12541617
2020-06-30 07:00:00,17161685
2020-06-30 08:00:00,22126843
2020-06-30 09:00:00,25750096
2020-06-30 10:00:00,27965183
2020-06-30 11:00:00,29569655
2020-06-30 12:00:00,29368930
2020-06-30 13:00:00,28662790
2020-06-30 14:00:00,28092552
2020-06-30 15:00:00,28837454
2020-06-30 16:00:00,30848705
2020-06-30 17:00:00,31007417
2020-06-30 18:00:00,32014826
2020-06-30 19:00:00,33610787
2020-06-30 20:00:00,35250282
2020-06-30 21:00:00,37289152
2020-06-30 22:00:00,36437573
2020-06-30 23:00:00,30989407
2020-07-01 00:00:00,21699735
2020-07-01 01:00:00,13627736
2020-07-01 02:00:00,8487995
2020-07-01 03:00:00,6155833
2020-07-01 04:00:00,6134052
2020-07-01 05:00:00,7936786
2020-07-01 06:00:00,11468867
2020-07-01 07:00:00,16068343
2020-07-01 08:00:00,21390383
2020-07-01 09:00:00,25456953
2020-07-01 10:00:00,27954910
2020-07-01 11:00:00,29209552
2020-07-01 12:00:00,29863708
2020-07-01 13:00:00,29072001
2020-07-01 14:00:00,28677544
2020-07-01 15:00:00,29252666
2020-07-01 16:00:00,29103234
2020-07-01 17:00:00,29448744
2020-07-01 18:00:00,30423218
2020-07-01 19:00:00,32259848
2020-07-01 20:00:00,35290144
2020-07-01 21:00:00,36557946
2020-07-01 22:00:00,35769654
2020-07-01 23:00:00,30470214
2020-07-02 00:00:00,21688490
2020-07-02 01:00:00,13269243
2020-07-02 02:00:00,8276220
2020-07-02 03:00:00,6229170
2020-07-02 04:00:00,6409770
2020-07-02 05:00:00,8576712
2020-07-02 06:00:00,12557571
2020-07-02 07:00:00,17137077
2020-07-02 08:00:00,21479519
2020-07-02 09:00:00,25516247
2020-07-02 10:00:00,28153702
2020-07-02 11:00:00,29610526
2020-07-02 12:00:00,31261510
2020-07-02 13:00:00,31678808
2020-07-02 14:00:00,33085963
2020-07-02 15:00:00,34632871
2020-07-02 16:00:00,33793580
2020-07-02 17:00:00,33979879
2020-07-02 18:00:00,34525442
2020-07-02 19:00:00,36060431
2020-07-02 20:00:00,37907976
2020-07-02 21:00:00,39312795
2020-07-02 22:00:00,37962306
2020-07-02 23:00:00,31988742
2020-07-03 00:00:00,22211027
2020-07-03 01:00:00,13796264
2020-07-03 02:00:00,8789825
2020-07-03 03:00:00,6631431
2020-07-03 04:00:00,6892776
2020-07-03 05:00:00,9224106
2020-07-03 06:00:00,13378146
2020-07-03 07:00:00,18327023
2020-07-03 08:00:00,22813870
2020-07-03 09:00:00,26687970
2020-07-03 10:00:00,29700125
2020-07-03 11:00:00,30935858
2020-07-03 12:00:00,31433757
2020-07-03 13:00:00,31161589
2020-07-03 14:00:00,31021838
2020-07-03 15:00:00,32234998
2020-07-03 16:00:00,32274110
2020-07-03 17:00:00,32653593
2020-07-03 18:00:00,33115892
2020-07-03 19:00:00,33940380
2020-07-03 20:00:00,36172087
2020-07-03 21:00:00,37924291
2020-07-03 22:00:00,37963678
2020-07-03 23:00:00,32324389
